area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1206.0,2.0,1.0,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1150.0,2.0,3.0,40.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2490.0,3.0,3.0,205.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,460.0,1.0,0.0,22.0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,Unknown,2490.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660.0,2.0,2.0,105.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,1275.0,2.0,2.0,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326.0,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1325.0,2.0,2.0,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499.0,4.5,2.0,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Unknown,2490.0,4.5,2.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1665.0,3.0,2.0,88.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708.0,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Unknown,710.0,4.5,3.0,160.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000.0,2.0,2.0,70.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1000.0,2.0,1.0,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,Unknown,1450.0,2.0,2.0,70.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,Unknown,1200.0,4.0,2.0,155.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296.0,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,Unknown,1540.0,3.0,2.0,90.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2490.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Unknown,1330.0,2.0,1.0,48.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Unknown,1200.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,Unknown,1200.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2490.0,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,966.0,2.0,2.0,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,1630.0,2.0,1.0,98.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,225.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Unknown,782.0,2.0,2.0,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260.0,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Unknown,1800.0,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530.0,2.0,1.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,2490.0,4.0,1.0,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2490.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Unknown,1436.0,3.0,1.0,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Unknown,1100.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,Unknown,276.0,3.0,3.0,23.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,1275.0,4.0,0.0,225.0
Built-up  Area,Ready To Move,Shampura,4 BHK,Unknown,2490.0,4.0,2.0,150.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282.0,2.0,2.0,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Unknown,1050.0,2.0,1.0,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600.0,3.0,2.0,65.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,Unknown,945.0,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Unknown,950.0,4.5,0.0,115.0
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880.0,1.0,1.0,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Unknown,1200.0,4.0,0.0,210.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360.0,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1275.0,2.0,0.0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,Unknown,1280.0,3.0,1.0,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260.0,2.0,2.0,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,Unknown,2490.0,4.5,2.0,225.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,2490.0,4.5,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,Unknown,1000.0,2.0,1.0,60.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167.0,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Unknown,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,Unknown,1034.0,4.5,2.0,185.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710.0,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,Unknown,1250.0,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1200.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735.0,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Unknown,2490.0,4.0,0.0,225.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,Unknown,1350.0,2.0,3.0,48.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1275.0,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,Unknown,1300.0,4.5,0.0,99.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450.0,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152.0,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,Unknown,1500.0,3.0,2.0,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Unknown,600.0,3.0,2.0,85.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,Unknown,400.0,1.0,0.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242.0,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144.0,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,52.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,Unknown,1846.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Unknown,1340.0,2.0,2.0,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1275.0,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,Unknown,2250.0,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,Unknown,1200.0,4.5,2.0,225.0
Plot  Area,Ready To Move,Ejipura,7 Bedroom,Unknown,1800.0,4.5,1.0,225.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1186.0,2.0,2.0,58.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,Unknown,1783.0,3.0,1.0,115.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Unknown,980.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Unknown,1285.0,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,Unknown,912.0,2.0,1.0,70.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225.0,2.0,2.0,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1075.0,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282.0,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,Unknown,1207.0,2.0,2.0,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,Unknown,1736.0,4.5,0.0,190.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,Unknown,2490.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,Unknown,1798.0,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,Unknown,2490.0,4.5,0.0,141.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,27.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Unknown,1415.0,3.0,3.0,78.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,Unknown,2000.0,4.0,1.0,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1275.0,2.0,2.0,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405.0,4.0,2.0,225.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,Unknown,1500.0,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Unknown,1900.0,3.0,2.0,119.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,Unknown,805.0,2.0,1.0,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,Unknown,1500.0,2.0,1.0,65.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,Unknown,1080.0,2.0,2.0,39.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933.0,3.0,1.0,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,Unknown,2490.0,4.5,2.0,150.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,Unknown,1060.0,2.0,2.0,60.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,Unknown,2490.0,4.5,2.0,180.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285.0,2.0,3.0,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Unknown,1200.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,2490.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420.0,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800.0,1.0,1.0,20.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,Unknown,1060.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,Unknown,900.0,2.0,2.0,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,Unknown,1280.0,2.0,1.0,69.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,Unknown,1200.0,2.0,0.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1025.0,2.0,2.0,36.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,63.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,Unknown,1200.0,4.5,2.0,170.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,2490.0,3.0,2.0,170.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2490.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500.0,3.0,2.0,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,2.0,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035.0,2.0,2.0,49.2
